id,TVin_SAEM,TVmax_SAEM,beff_SAEM,r_SAEM,kLn_SAEM,sL_SAEM,Kp_SAEM,Kado_SAEM,Vado_SAEM,IC50_SAEM,sR_SAEM,sCf_SAEM,TVin_mean,TVmax_mean,beff_mean,r_mean,kLn_mean,sL_mean,Kp_mean,Kado_mean,Vado_mean,IC50_mean,sR_mean,sCf_mean,TVin_mode,TVmax_mode,beff_mode,r_mode,kLn_mode,sL_mode,Kp_mode,Kado_mode,Vado_mode,IC50_mode,sR_mode,sCf_mode,TVin_sd,TVmax_sd,beff_sd,r_sd,kLn_sd,sL_sd,Kp_sd,Kado_sd,Vado_sd,IC50_sd,sR_sd,sCf_sd,Model,Study,Treat
1,2.06173,3500,0.001,0.522325,209.213,2.46921,1333.37,80,100000,1.86059,50.7824,1,2.05452,3500,0.001,0.521743,209.674,2.44835,1279.92,80,100000,1.82315,51.9388,1,2.05452,3500,0.001,0.521743,209.674,2.42972,1279.92,80,100000,1.82315,52.408,1,0,0,0,0,0,0.291519,0,0,0,0,5.63079,0,CT26,CIV226,Vehicle
2,2.06173,3500,0.001,0.522325,209.213,1.10946,1333.37,80,100000,1.86059,57.0463,1,2.05452,3500,0.001,0.521743,209.674,1.11166,1279.92,80,100000,1.82315,58.9199,1,2.05452,3500,0.001,0.521743,209.674,1.08913,1279.92,80,100000,1.82315,58.4871,1,0,0,0,0,0,0.164945,0,0,0,0,7.88157,0,CT26,CIV226,Vehicle
3,2.06173,3500,0.001,0.522325,209.213,2.80847,1333.37,80,100000,1.86059,53.4033,1,2.05452,3500,0.001,0.521743,209.674,2.77254,1279.92,80,100000,1.82315,53.8033,1,2.05452,3500,0.001,0.521743,209.674,2.74567,1279.92,80,100000,1.82315,55.022,1,0,0,0,0,0,0.380301,0,0,0,0,6.65536,0,CT26,CIV226,Vehicle
4,2.06173,3500,0.001,0.522325,209.213,2.56258,1333.37,80,100000,1.86059,57.2397,1,2.05452,3500,0.001,0.521743,209.674,2.54094,1279.92,80,100000,1.82315,55.5416,1,2.05452,3500,0.001,0.521743,209.674,2.4523,1279.92,80,100000,1.82315,56.0465,1,0,0,0,0,0,0.397056,0,0,0,0,7.50803,0,CT26,CIV226,Vehicle
5,2.06173,3500,0.001,0.522325,209.213,1.70508,1333.37,80,100000,1.86059,59.2395,1,2.05452,3500,0.001,0.521743,209.674,1.75772,1279.92,80,100000,1.82315,59.768,1,2.05452,3500,0.001,0.521743,209.674,1.65781,1279.92,80,100000,1.82315,58.9715,1,0,0,0,0,0,0.241807,0,0,0,0,7.98516,0,CT26,CIV226,Vehicle
6,2.06173,3500,0.001,0.522325,209.213,1.28074,1333.37,80,100000,1.86059,66.8259,1,2.05452,3500,0.001,0.521743,209.674,1.27526,1279.92,80,100000,1.82315,64.9417,1,2.05452,3500,0.001,0.521743,209.674,1.25479,1279.92,80,100000,1.82315,66.2109,1,0,0,0,0,0,0.145734,0,0,0,0,8.74227,0,CT26,CIV226,Vehicle
7,2.06173,3500,0.001,0.522325,209.213,3.97082,1333.37,80,100000,1.86059,53.4077,1,2.05452,3500,0.001,0.521743,209.674,3.92484,1279.92,80,100000,1.82315,52.1956,1,2.05452,3500,0.001,0.521743,209.674,3.822,1279.92,80,100000,1.82315,53.221,1,0,0,0,0,0,0.630577,0,0,0,0,6.95115,0,CT26,CIV226,Vehicle
8,2.06173,3500,0.001,0.522325,209.213,2.43082,1333.37,80,100000,1.86059,56.7983,1,2.05452,3500,0.001,0.521743,209.674,2.42095,1279.92,80,100000,1.82315,57.7994,1,2.05452,3500,0.001,0.521743,209.674,2.36761,1279.92,80,100000,1.82315,57.3177,1,0,0,0,0,0,0.346142,0,0,0,0,6.87375,0,CT26,CIV226,Vehicle
9,2.06173,3500,0.001,0.522325,209.213,2.84048,1333.37,80,100000,1.86059,51.6027,1,2.05452,3500,0.001,0.521743,209.674,2.70776,1279.92,80,100000,1.82315,49.6574,1,2.05452,3500,0.001,0.521743,209.674,2.67498,1279.92,80,100000,1.82315,51.2983,1,0,0,0,0,0,0.445827,0,0,0,0,6.20624,0,CT26,CIV226,Vehicle
10,2.06173,3500,0.001,0.522325,209.213,3.27511,1333.37,80,100000,1.86059,52.314,1,2.05452,3500,0.001,0.521743,209.674,3.27006,1279.92,80,100000,1.82315,53.3192,1,2.05452,3500,0.001,0.521743,209.674,3.15016,1279.92,80,100000,1.82315,52.9485,1,0,0,0,0,0,0.48833,0,0,0,0,6.57372,0,CT26,CIV226,Vehicle
11,2.06173,3500,0.001,0.522325,209.213,1.80422,1333.37,80,100000,1.86059,60.2418,1,2.05452,3500,0.001,0.521743,209.674,1.80064,1279.92,80,100000,1.82315,59.0915,1,2.05452,3500,0.001,0.521743,209.674,1.7492,1279.92,80,100000,1.82315,59.0333,1,0,0,0,0,0,0.260439,0,0,0,0,8.59113,0,CT26,CIV226,AZD4635
12,2.06173,3500,0.001,0.522325,209.213,2.32027,1333.37,80,100000,1.86059,58.8309,1,2.05452,3500,0.001,0.521743,209.674,2.35672,1279.92,80,100000,1.82315,59.1158,1,2.05452,3500,0.001,0.521743,209.674,2.25766,1279.92,80,100000,1.82315,58.1101,1,0,0,0,0,0,0.326794,0,0,0,0,6.49238,0,CT26,CIV226,AZD4635
13,2.06173,3500,0.001,0.522325,209.213,1.45858,1333.37,80,100000,1.86059,58.5224,1,2.05452,3500,0.001,0.521743,209.674,1.48172,1279.92,80,100000,1.82315,59.3705,1,2.05452,3500,0.001,0.521743,209.674,1.42525,1279.92,80,100000,1.82315,58.914,1,0,0,0,0,0,0.226436,0,0,0,0,8.60707,0,CT26,CIV226,AZD4635
14,2.06173,3500,0.001,0.522325,209.213,2.29586,1333.37,80,100000,1.86059,59.657,1,2.05452,3500,0.001,0.521743,209.674,2.35587,1279.92,80,100000,1.82315,59.8873,1,2.05452,3500,0.001,0.521743,209.674,2.27765,1279.92,80,100000,1.82315,60.4206,1,0,0,0,0,0,0.285658,0,0,0,0,7.88894,0,CT26,CIV226,AZD4635
15,2.06173,3500,0.001,0.522325,209.213,2.24983,1333.37,80,100000,1.86059,58.4981,1,2.05452,3500,0.001,0.521743,209.674,2.25169,1279.92,80,100000,1.82315,60.016,1,2.05452,3500,0.001,0.521743,209.674,2.21936,1279.92,80,100000,1.82315,59.8526,1,0,0,0,0,0,0.313933,0,0,0,0,7.64559,0,CT26,CIV226,AZD4635
16,2.06173,3500,0.001,0.522325,209.213,2.05352,1333.37,80,100000,1.86059,60.8843,1,2.05452,3500,0.001,0.521743,209.674,1.95634,1279.92,80,100000,1.82315,60.3268,1,2.05452,3500,0.001,0.521743,209.674,1.92296,1279.92,80,100000,1.82315,60.3392,1,0,0,0,0,0,0.222087,0,0,0,0,7.04436,0,CT26,CIV226,AZD4635
17,2.06173,3500,0.001,0.522325,209.213,1.91582,1333.37,80,100000,1.86059,60.6636,1,2.05452,3500,0.001,0.521743,209.674,1.99909,1279.92,80,100000,1.82315,64.3344,1,2.05452,3500,0.001,0.521743,209.674,1.86056,1279.92,80,100000,1.82315,59.9923,1,0,0,0,0,0,0.248045,0,0,0,0,7.65825,0,CT26,CIV226,AZD4635
18,2.06173,3500,0.001,0.522325,209.213,1.76683,1333.37,80,100000,1.86059,56.6635,1,2.05452,3500,0.001,0.521743,209.674,1.79192,1279.92,80,100000,1.82315,58.7415,1,2.05452,3500,0.001,0.521743,209.674,1.75638,1279.92,80,100000,1.82315,57.8785,1,0,0,0,0,0,0.175365,0,0,0,0,6.24524,0,CT26,CIV226,AZD4635
19,2.06173,3500,0.001,0.522325,209.213,1.785,1333.37,80,100000,1.86059,59.5046,1,2.05452,3500,0.001,0.521743,209.674,1.75953,1279.92,80,100000,1.82315,59.5645,1,2.05452,3500,0.001,0.521743,209.674,1.74329,1279.92,80,100000,1.82315,60.4588,1,0,0,0,0,0,0.22888,0,0,0,0,7.65286,0,CT26,CIV226,AZD4635
20,2.06173,3500,0.001,0.522325,209.213,3.85895,1333.37,80,100000,1.86059,59.1545,1,2.05452,3500,0.001,0.521743,209.674,3.9599,1279.92,80,100000,1.82315,61.6639,1,2.05452,3500,0.001,0.521743,209.674,3.62068,1279.92,80,100000,1.82315,58.2622,1,0,0,0,0,0,0.470184,0,0,0,0,6.87707,0,CT26,CIV226,AZD4635
